ciqual_code,name_fr,group_name_fr,subgroup_name_fr,carbs_raw,carbs_g_100g,carbs_qualifier
24999,Dessert (aliment moyen),,,"32,9",32.9,exact
8406,"Salade de museau de porc, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,"0,89",0.89,exact
8407,"Salade de cervelas, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,"1,93",1.93,exact
25600,"Salade de céleri rémoulade, préemballée",entrées et plats composés,salades composées et crudités,"3,14",3.14,exact
25601,"Salade de thon et légumes, appertisée",entrées et plats composés,salades composées et crudités,"8,13",8.13,exact
25602,"Salade composée avec viande ou poisson, appertisée",entrées et plats composés,salades composées et crudités,"6,4",6.4,exact
25605,"Champignons à la grecque, préemballés",entrées et plats composés,salades composées et crudités,"3,53",3.53,exact
25606,"Salade de pommes de terre, faite maison",entrées et plats composés,salades composées et crudités,"9,9",9.9,exact
25608,"Taboulé ou salade de semoule aux légumes, préemballé",entrées et plats composés,salades composées et crudités,"23,7",23.7,exact
25609,"Salade de pomme de terre à la piémontaise, préemballée",entrées et plats composés,salades composées et crudités,"8,87",8.87,exact
25610,"Salade de museau de boeuf, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,"0,8",0.8,exact
25614,"Salade de riz, appertisée",entrées et plats composés,salades composées et crudités,"16,1",16.1,exact
25615,"Salade de pâtes au fromage et légumes, avec sauce",entrées et plats composés,salades composées et crudités,"13,7",13.7,exact
25619,"Salade de pâtes aux légumes et poisson ou viande, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,"14,2",14.2,exact
25626,"Macédoine de légumes en salade, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,"3,47",3.47,exact
25628,"Salade César au poulet (salade verte, fromage, croûtons, sauce), préemballée",entrées et plats composés,salades composées et crudités,"4,88",4.88,exact
25629,"Salade végétarienne à base de boulgour et/ou quinoa et légumes, préemballée",entrées et plats composés,salades composées et crudités,"17,4",17.4,exact
25642,"Salade de céleri et carotte rémoulade, préemballée",entrées et plats composés,salades composées et crudités,"5,43",5.43,exact
25664,"Salade de pomme de terre au thon, préemballée",entrées et plats composés,salades composées et crudités,"8,13",8.13,exact
25665,"Salade de pomme de terre à la saucisse, préemballée",entrées et plats composés,salades composées et crudités,"8,75",8.75,exact
25666,"Salade composée à base de crudités, charcuterie et fromage, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,"4,96",4.96,exact
25667,"Salade composée à base de crudités et produits de la mer, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,"7,58",7.58,exact
25668,"Salade composée à base de crudités, oeuf et produits de la mer, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,"3,77",3.77,exact
25669,"Salade composée à base de crudités, poulet et fromage, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,"5,28",5.28,exact
25670,"Salade composée à base de crudités et poulet, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,"4,28",4.28,exact
26257,"Salade de carottes râpées, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,"5,67",5.67,exact
26258,"Salade de betterave, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,"5,11",5.11,exact
26259,"Salade de chou et carotte ou coleslaw, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,"5,78",5.78,exact
26260,"Salade de concombre à la crème/fromage blanc, préemballée",entrées et plats composés,salades composées et crudités,"0,58",0.58,exact
26261,"Salade de lentilles et saucisse fumée, préemballée",entrées et plats composés,salades composées et crudités,"8,9",8.9,exact
26262,"Salade grecque, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,"1,4",1.4,exact
26263,"Salade de riz au thon et légumes, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,"16,8",16.8,exact
26269,"Taboulé ou salade de semoule au poulet, préemballé",entrées et plats composés,salades composées et crudités,"20,1",20.1,exact
26276,"Salade de pâtes au surimi, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,"14,1",14.1,exact
26277,"Salade Alaska au surimi, ananas, carottes, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,"7,12",7.12,exact
26278,"Salade de pâtes au poulet, fromage et crudités, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,"12,4",12.4,exact
26279,"Salade de pâtes aux poulet, oeuf, fromage et crudités, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,"12,4",12.4,exact
26280,"Salade de pâtes au jambon cru, fromage et crudités, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,"15,1",15.1,exact
26281,"Salade de chou rouge, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,"4,73",4.73,exact
26282,"Salade de pâtes au poulet et crudités, avec sauce, préemballée",entrées et plats composés,salades composées et crudités,"13,5",13.5,exact
25900,"Soupe aux lentilles, préemballée à réchauffer",entrées et plats composés,soupes,"7,64",7.64,exact
25901,"Soupe à la volaille et aux légumes, préemballée à réchauffer",entrées et plats composés,soupes,"2,6",2.6,exact
25903,"Soupe aux légumes variés, préemballée à réchauffer",entrées et plats composés,soupes,"4,5",4.5,exact
25904,"Soupe de poissons et/ou crustacés, préemballée à réchauffer",entrées et plats composés,soupes,"2,71",2.71,exact
25905,"Soupe aux légumes variés, déshydratée reconstituée",entrées et plats composés,soupes,"5,7",5.7,exact
25907,"Soupe aux poireaux et pommes de terre, préemballée à réchauffer",entrées et plats composés,soupes,"5,12",5.12,exact
25908,"Soupe à la volaille et aux vermicelles, préemballée à réchauffer",entrées et plats composés,soupes,"3,28",3.28,exact
25909,"Bouillon de viande et légumes type pot-au-feu, prêt à consommer",entrées et plats composés,soupes,"0,24",0.24,exact
25910,"Soupe à l'oignon, préemballée à réchauffer",entrées et plats composés,soupes,"4,26",4.26,exact
25912,"Soupe aux champignons, préemballée à réchauffer",entrées et plats composés,soupes,"4,1",4.1,exact
25913,"Soupe à la carotte, préemballée à réchauffer",entrées et plats composés,soupes,"4,03",4.03,exact
